INFO  - 2014-04-29 23:10:06.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-04-29 23:10:06.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-04-29 23:10:06.438; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-04-29 23:10:06.439; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-04-29 23:10:06.440; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2014-04-29 23:10:06.441; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-04-29 23:10:06.442; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-04-29 23:10:06.443; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-04-29 23:10:06.444; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.445; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-04-29 23:10:06.446; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2014-04-29 23:10:06.447; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2014-04-29 23:10:06.448; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-04-29 23:10:06.449; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-04-29 23:10:06.450; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.451; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-04-29 23:10:06.452; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-04-29 23:10:06.453; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.454; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-04-29 23:10:06.463; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/dist/solr-cell-4.8.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.467; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
